文件路径,组件类型,父组件,导入的API函数,URL,说明,来自子组件,子组件路径,导入的组件,是否有API调用
"xsxxhz/index","2级路由","","saveFormData","/business/v3/data/template/saveFormData/vo","通过key，获取关联的数据@param {} dataexport function queryLinkageData(data, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryLinkageData',method: 'post',data,isLoading})}保存表单数据@param {}","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","startFlowFromEdit","/business/v3/bpm/instance/startFlowFromEdit","启动自定义流程按钮【列表】@param {} paramsexport function startFlowFromList(params) {return request({url: BPMN_URL() + '/bpm/instance/startFlowFromList',method: 'post',isLoading: true,params: params})}启动自定义流程按钮【编辑","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryPageList","/business/v3/bpm/definition/query","查询列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryByFormKey","/business/v3/bpm/definition/queryByFormKey","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: BPMN_URL() + '/bpm/definition/query',method: 'post',data: params})}根据表单key获取列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getFormData","/business/v3/bpm/instance/getFormData","删除数据@param {} paramsexport function remove(params) {return request({url: BPMN_URL() + '/bpm/instance/remove',method: 'post',isLoading: true,params: params})}启动或草稿获取表单数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getInstFormData","/business/v3/bpm/instance/instFormInfo","启动或草稿获取表单数据@param {} paramsexport function getFormData(params) {return request({url: BPMN_URL() + '/bpm/instance/getFormData',method: 'get',params: params})}流程实例获取表单数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getTaskFormData","/business/v3/bpm/task/getFormData","批量恢复任务@param {} paramsexport function batchRecoverProcess(params) {return request({url: BPMN_URL() + '/bpm/task/batchRecoverProcess',method: 'post',isLoading: true,params: params})}流程任务获取表单数据@param {}","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataByKey","/business/v3/data/template/queryDataByKey","通过Key获取数据@param {} paramsexport function getBuildDataByKey(params) {return request({url: DATA_URL() + '/data/template/getBuildDataByKey',method: 'get',params: params})}获取列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataById","/business/v3/data/template/queryDataById","获取列表数据@param {} paramsexport function queryDataTable(params, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryDataTable',method: 'post',data: params,isLoading})}通过id，获取关联的数据@p","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getByKey","/business/v3/data/template/getByKey","判断模版key是否存在@param {} paramsexport function isKeyExists(params) {return request({url: DATA_URL() + '/data/template/isKeyExists',method: 'post',params: params})}获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getAreaData","/platform/v3/cat/area/getData","getAreaData","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/employee/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/org/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/position/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/role/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataById","/business/v3/data/template/queryDataById","获取列表数据@param {} paramsexport function queryDataTable(params, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryDataTable',method: 'post',data: params,isLoading})}通过id，获取关联的数据@p","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataByKey","/business/v3/data/template/queryDataByKey","通过Key获取数据@param {} paramsexport function getBuildDataByKey(params) {return request({url: DATA_URL() + '/data/template/getBuildDataByKey',method: 'get',params: params})}获取列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataByKey","/business/v3/data/template/queryDataByKey","通过Key获取数据@param {} paramsexport function getBuildDataByKey(params) {return request({url: DATA_URL() + '/data/template/getBuildDataByKey',method: 'get',params: params})}获取列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataById","/business/v3/data/template/queryDataById","获取列表数据@param {} paramsexport function queryDataTable(params, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryDataTable',method: 'post',data: params,isLoading})}通过id，获取关联的数据@p","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getByKey","/business/v3/data/template/getByKey","判断模版key是否存在@param {} paramsexport function isKeyExists(params) {return request({url: DATA_URL() + '/data/template/isKeyExists',method: 'post',params: params})}获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","getAreaData","/platform/v3/cat/area/getData","getAreaData","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/employee/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/org/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/position/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/role/get","获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataById","/business/v3/data/template/queryDataById","获取列表数据@param {} paramsexport function queryDataTable(params, isLoading = true) {return request({url: DATA_URL() + '/data/template/queryDataTable',method: 'post',data: params,isLoading})}通过id，获取关联的数据@p","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"xsxxhz/index","2级路由","","queryDataByKey","/business/v3/data/template/queryDataByKey","通过Key获取数据@param {} paramsexport function getBuildDataByKey(params) {return request({url: DATA_URL() + '/data/template/getBuildDataByKey',method: 'get',params: params})}获取列表数据@param {} params","qz-template-list-dialog","/views/platform/data/qz-template-list-dialog.vue","dialog, qz-template-list-dialog","是"
"rwsForm","1级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","","","index","是"
"rwsForm","1级路由","","queryZbrwByAccount","/zxgl/v3/xgZxglZbrw/queryZbrwByAccount","queryZbrwByAccount","","","index","是"
"rwsForm","1级路由","","getByDefKey","/business/v3/bpm/definition/getByDefKey","getByDefKey","","","index","是"
"rwsForm","1级路由","","startFlow","/business/v3/bpm/instance/start","startFlow","","","index","是"
"rwsForm","1级路由","","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","index","是"
"rwsForm","1级路由","","getByDefKeyBizKey","/business/v3/bpm/instance/getByDefKeyBizKey","根据流程定义key和业务主键获取相关流程实例@param {} params","","","index","是"
"rwsForm","1级路由","","agree","/business/v3/bpm/task/agree","获取驳回发起人@param {} paramsexport function toRejectToStart(params) {return request({url: BPMN_URL() + '/bpm/task/toRejectToStart',method: 'get',params: params})}流程动作-同意@param {} params","","","index","是"
"rwsForm","1级路由","","pending","/business/v3/bpm/received/query/pending","我的待办列表@param {} params","","","index","是"
"rwsForm","1级路由","","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"rwsForm","1级路由","","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"rwsForm","1级路由","","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"rwsForm","1级路由","","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","index","/business/platform/file/uploader/index.vue","index","是"
"rwsForm","1级路由","","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"rwsForm","1级路由","","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bxglindex","1级路由","","","","","","","","否"
"bxtbFrom","1级路由","bxglindex","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","index","是"
"bxtbFrom","1级路由","bxglindex","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bxtbFrom","1级路由","bxglindex","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bxtbFrom","1级路由","bxglindex","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bxtbFrom","1级路由","bxglindex","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","index","/business/platform/file/uploader/index.vue","index","是"
"bxtbFrom","1级路由","bxglindex","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bxtbFrom","1级路由","bxglindex","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"ygbxList","1级路由","bxglindex","","","","","","","否"
"xszbb","1级路由","","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","","","viewPopup, stationPopup","是"
"xszbb","1级路由","","queryApplyInfo","/zxgl/v3/xgZxglXszgl/xszbb/getXszbbSqbdxx","queryApplyInfo","","","viewPopup, stationPopup","是"
"xszbb","1级路由","","saveApplyData","/zxgl/v3/xgZxglXszgl/xszbb/submit","saveApplyData","","","viewPopup, stationPopup","是"
"xszbb","1级路由","","queryApplyList","/zxgl/v3/xgZxglXszgl/xszbb/queryXszbbSqxx","queryApplyList","","","viewPopup, stationPopup","是"
"xszbb","1级路由","","getStudentCardById","/zxgl/v3/xgZxglXszgl/get","getStudentCardById","","","viewPopup, stationPopup","是"
"xszbb","1级路由","","queryStationList","/zxgl/v3/xgZxglHczzdxx/query","queryStationList","stationPopup","/views/modules/zxgl/xszbb/stationPopup.vue","viewPopup, stationPopup","是"
"xszbbindex","1级路由","","queryXszgl","/zxgl/v3/xgZxglXszgl/query","queryXszgl","","","","是"
"xszbbindex","1级路由","","checkNowBetweenSjfw","/zxgl/v3/xgZxglXszbbsz/checkNowBetweenSjfw","checkNowBetweenSjfw","","","","是"
"xszbbindex","1级路由","","getDqXnxq","/jczy/v3/xgJczyXnxq01/getDqXnxq","getDqXnxq","","","","是"
"xszbbindex","1级路由","","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","","是"
"xszbbindex","1级路由","","getByDefKeyBizKey","/business/v3/bpm/instance/getByDefKeyBizKey","根据流程定义key和业务主键获取相关流程实例@param {} params","","","","是"
"xszbbindex","1级路由","","flowHistory","/business/v3/bpm/instance/flowHistory","流程图@param {} paramsexport function flowImage(params) {return request({url: BPMN_URL() + '/bpm/instance/flowImage',method: 'get',params: params})}审批历史@param {} params","","","","是"
"bbsqFrom","1级路由","xszbbindex","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","","","index","是"
"bbsqFrom","1级路由","xszbbindex","getXszgl","/zxgl/v3/xgZxglXszgl/get","getXszgl","","","index","是"
"bbsqFrom","1级路由","xszbbindex","getBbsm","/zxgl/v3/xgZxglXszbbsz/getBbsm","getBbsm","","","index","是"
"bbsqFrom","1级路由","xszbbindex","checkNowBetweenSjfw","/zxgl/v3/xgZxglXszbbsz/checkNowBetweenSjfw","checkNowBetweenSjfw","","","index","是"
"bbsqFrom","1级路由","xszbbindex","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","index","是"
"bbsqFrom","1级路由","xszbbindex","getXs0101xjxx","/jczy/v3/xgJczyXs0101/getXsxjxx","getXs0101xjxx","","","index","是"
"bbsqFrom","1级路由","xszbbindex","getDqXnxq","/jczy/v3/xgJczyXnxq01/getDqXnxq","getDqXnxq","","","index","是"
"bbsqFrom","1级路由","xszbbindex","getByDefKey","/business/v3/bpm/definition/getByDefKey","getByDefKey","","","index","是"
"bbsqFrom","1级路由","xszbbindex","startFlow","/business/v3/bpm/instance/start","startFlow","","","index","是"
"bbsqFrom","1级路由","xszbbindex","get","/platform/v3/file/attachment/get","删除数据@param {} paramsexport function remove(params) {return request({url: SYSTEM_URL() + '/file/attachment/remove',method: 'post',isLoading: true,params: params})}获取数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bbsqFrom","1级路由","xszbbindex","remove","/platform/v3/file/attachment/remove","查询列表数据@param {} paramsexport function queryPageList(params) {return request({url: SYSTEM_URL() + '/file/attachment/query',method: 'post',data: params})}删除数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bbsqFrom","1级路由","xszbbindex","transfer","/platform/v3/file/attachment/transfer","获取数据@param {} paramsexport function get(params) {return request({url: SYSTEM_URL() + '/file/attachment/get',method: 'get',params})}获取数据(通过ID转换为名称)@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bbsqFrom","1级路由","xszbbindex","uploadFile","/platform/v3/file/upload","文件上传@param {} file@param {} uploadFileVo","index","/business/platform/file/uploader/index.vue","index","是"
"bbsqFrom","1级路由","xszbbindex","queryPageList","/platform/v3/file/attachment/query","查询列表数据@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"bbsqFrom","1级路由","xszbbindex","findByCategoryKey","/platform/v3/cat/type/findByCategoryKey","根据分类组键获取分类信息@param {} paramsexport function findTreeData(params) {return request({url: CAT_URL() + '/cat/type/findTreeData',method: 'get',params})}根据分类组键获取分类信息@param {} params","index","/business/platform/file/uploader/index.vue","index","是"
"jsKtkq","1级路由","","getCalWeekByXnxq","/jczy/v3/xgJczyGgjxzl/getJxMonthByXnxq01Id","课堂考勤","","","","是"
"jsKtkq","1级路由","","getJxzlRqAndJsSfykByMonth","/zxgl/v3/xgZxglKtkq/getJxzlRqAndJsSfykByMonth","getJxzlRqAndJsSfykByMonth","","","","是"
"jsKtkq","1级路由","","getTimetableAndKtkq","/zxgl/v3/xgZxglKtkq/getTeacherKbAndKtkq","getTimetableAndKtkq","","","","是"
"jsKtkq","1级路由","","getDqXnxq","/jczy/v3/xgJczyXnxq01/getDqXnxq","getDqXnxq","","","","是"
"jsKtkq","1级路由","","queryTeacherInfoByAccount","/jczy/v3/xgJczyJg0101/queryTeacherInfoByAccount","queryTeacherInfoByAccount","","","","是"
"jsKqqd","1级路由","","getKtkqSituation","/zxgl/v3/xgZxglKtkq/countKtkqqk","getKtkqSituation","","","","是"
"jsKqqd","1级路由","","getClassAndStudent","/zxgl/v3/xgZxglKtkqmx/getXsKtkqmx","getClassAndStudent","","","","是"
"jsKqqd","1级路由","","startAutoCheckIn","/zxgl/v3/xgZxglKtkq/startZdkq","startAutoCheckIn","","","","是"
"jsKqqd","1级路由","","saveHandCheckIn","/zxgl/v3/xgZxglKtkq/saveKtkq","saveHandCheckIn","","","","是"
"jsKqqd","1级路由","","endAutoCheckIn","/zxgl/v3/xgZxglKtkq/overZdkq","endAutoCheckIn","","","","是"
"xsKtkqjl","1级路由","","getDqXnxq","/jczy/v3/xgJczyXnxq01/getDqXnxq","getDqXnxq","","","","是"
"xsKtkqjl","1级路由","","queryXnxq01","/jczy/v3/xgJczyXnxq01/query","queryXnxq01","","","","是"
"xsKtkqjl","1级路由","","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","","是"
"xsKtkqjl","1级路由","","studentKtkqDetail","/zxgl/v3/xgZxglKtkqmx/countXsKcqdqk","studentKtkqDetail","","","","是"
"xsKqmx","1级路由","","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","","是"
"xsKqmx","1级路由","","studentKtkqmxList","/zxgl/v3/xgZxglKtkqmx/queryKtkqXskqmx","studentKtkqmxList","","","","是"
"xsKtqd","1级路由","","getCalWeekByXnxq","/jczy/v3/xgJczyGgjxzl/getJxMonthByXnxq01Id","课堂考勤","","","","是"
"xsKtqd","1级路由","","getDateAndClassByMonth","/zxgl/v3/xgZxglKtkq/getJxzlRqAndXsSfykByMonth","getDateAndClassByMonth","","","","是"
"xsKtqd","1级路由","","getStudentKtqdAndTimetable","/zxgl/v3/xgZxglKtkq/getStudentKbAndKtkqmx","getStudentKtqdAndTimetable","","","","是"
"xsKtqd","1级路由","","saveStudentKtq","/zxgl/v3/xgZxglKtkqmx/xsqd","saveStudentKtq","","","","是"
"xsKtqd","1级路由","","getCourseKqInfo","/zxgl/v3/xgZxglKtkq/get","getCourseKqInfo","","","","是"
"xsKtqd","1级路由","","getDqXnxq","/jczy/v3/xgJczyXnxq01/getDqXnxq","getDqXnxq","","","","是"
"xsKtqd","1级路由","","queryStudentInfoByAccount","/jczy/v3/xgJczyXs0101/queryStudentInfoByAccount","自动获取学生id和基本信息@param {} params","","","","是"
"lxdzd","1级路由","","getxgJczyQrcode","/jczy/v3/xgJczyQrcode/generate","getxgJczyQrcode","","","","是"
"lxdzd","1级路由","","getXsSxbl","/lxgl/v3/xgLxglSxbl/getXsSxbl","getXsSxbl","","","","是"
"lxdzd","1级路由","","updateXszt","/lxgl/v3/xgLxglXslx/updateXszt","updateXszt","","","","是"
"lxdzd","1级路由","","getStudentInfoById","/jczy/v3/xgJczyXs0101/queryStudentInfo","getStudentInfoById","","","","是"
"lxqkcx","1级路由","","queryLxxsWcqk","/lxgl/v3/xgLxglXslx/queryLxxsWcqk","queryLxxsWcqk","","","index, qkcx-detail","是"
"lxqkcx","1级路由","","queryLxpc","/lxgl/v3/xgLxglLxpc/query","queryLxpc","","","index, qkcx-detail","是"
"lxqkcx","1级路由","","getLxxn","/lxgl/v3/xgLxglLxpc/getLxxn","getLxxn","","","index, qkcx-detail","是"
"lxqkcx","1级路由","","querySxbl","/lxgl/v3/xgLxglSxbl/querySxbl","querySxbl","qkcx-detail","/views/modules/lxgl/lxqkcx/qkcx-detail.vue","index, qkcx-detail","是"
"qkcxdetail","1级路由","","querySxbl","/lxgl/v3/xgLxglSxbl/querySxbl","querySxbl","","","","是"
"lxwcltj","1级路由","","queryLxwcltjByYx","/lxgl/v3/xgLxglXslx/queryLxwcltjByYx","queryLxwcltjByYx","","","index, yxwcl-detail","是"
"lxwcltj","1级路由","","queryLxpc","/lxgl/v3/xgLxglLxpc/query","queryLxpc","","","index, yxwcl-detail","是"
"lxwcltj","1级路由","","getLxxn","/lxgl/v3/xgLxglLxpc/getLxxn","getLxxn","","","index, yxwcl-detail","是"
"lxwcltj","1级路由","","queryLxxsWcqk","/lxgl/v3/xgLxglXslx/queryLxxsWcqk","queryLxxsWcqk","yxwcl-detail","/views/modules/lxgl/lxwcltj/yxwcl-detail.vue","index, yxwcl-detail","是"
"yxwcldetail","1级路由","","queryLxxsWcqk","/lxgl/v3/xgLxglXslx/queryLxxsWcqk","queryLxxsWcqk","","","","是"
"byslxsq","1级路由","","queryInfo","/xssw/v3/xsswByslx/wdsq","queryInfo","","","qzbpsExamine1","是"
"byslxsq","1级路由","","saveAudit","/xssw/v3/xsswByslx/submitAudit","saveAudit","","","qzbpsExamine1","是"
"byslxsq","1级路由","","getXsjbxx","/jczy/v3/xgJczyXs0701/getXsjbxx","getXsjbxx","","","qzbpsExamine1","是"
"byslxsq","1级路由","","viewProcInst","/system/v3/proc/inst/view","viewProcInst","qzbpsExamine1","/views/modules/component/qzbpsExamine1.vue","qzbpsExamine1","是"
"bybg","1级路由","","getXxmc","/lxgl/v3/xgLxglBybg/getLxxsJbInfo","getXxmc","","","index","是"
"bybg","1级路由","","getYxXsMzRs","/lxgl/v3/xgLxglBybg/getLxxsCjInfo","getYxXsMzRs","","","index","是"
"bybg","1级路由","","getLxxsGbrzInfo","/lxgl/v3/xgLxglBybg/getLxxsGbrzInfo","getLxxsGbrzInfo","","","index","是"
"bybg","1级路由","","getLxxsTsgInfo","/lxgl/v3/xgLxglBybg/getLxxsTsgInfo","getLxxsTsgInfo","","","index","是"
"bybg","1级路由","","getLxxsYktInfo","/lxgl/v3/xgLxglBybg/getLxxsYktInfo","getLxxsYktInfo","","","index","是"
"bybg","1级路由","","getLxxsZhcpInfo","/lxgl/v3/xgLxglBybg/getLxxsZhcpInfo","getLxxsZhcpInfo","","","index","是"
"bybg","1级路由","","getLxxsJxjInfo","/lxgl/v3/xgLxglBybg/getLxxsJxjInfo","getLxxsJxjInfo","","","index","是"
"bybg","1级路由","","getLxxsZxjInfo","/lxgl/v3/xgLxglBybg/getLxxsZxjInfo","getLxxsZxjInfo","","","index","是"
"bybg","1级路由","","getLxxsBqInfo","/lxgl/v3/xgLxglBybg/getLxxsBqInfo","getLxxsBqInfo","","","index","是"
"bybg","1级路由","","getLxxsTwInfo","/lxgl/v3/xgLxglBybg/getLxxsTwInfo","getLxxsTwInfo","","","index","是"
"bybg","1级路由","","getYxNVMaxBl","/lxgl/v3/xgLxglBybg/getLxxsRzInfo","getYxNVMaxBl","","","index","是"
"bybg","1级路由","","getYxXsMzRsss","/lxgl/v3/xgLxglBybg/getLxxsKtInfo","getYxXsMzRsss","index","/views/modules/lxgl/bybg/components/ForthPage/index.vue","index","是"
"bybg","1级路由","","getXxmc","/lxgl/v3/xgLxglBybg/getLxxsJbInfo","getXxmc","index","/views/modules/lxgl/bybg/components/SeventhPage/index.vue","index","是"
"dxjl","1级路由","","","","","","","","否"
"lxsxbl","1级路由","","getSxbl","/lxgl/v3/xgLxglSxbl/getSxbl","getSxbl","","","stu-departureForm","是"
"lxsxbl","1级路由","","saveHandle","/lxgl/v3/xgLxglSxbl/handle","saveHandle","stu-departureForm","/views/modules/lxgl/components/stu-departureForm.vue","stu-departureForm","是"
"lxsxbl","1级路由","","getStudentInfoById","/jczy/v3/xgJczyXs0101/queryStudentInfo","getStudentInfoById","stu-departureForm","/views/modules/lxgl/components/stu-departureForm.vue","stu-departureForm","是"
"lxtj","1级路由","","getLxpc","/lxgl/v3/xgLxglLxpc/query","getLxpc","","","","是"
"lxtj","1级路由","","getCountLxztByPc","/lxgl/v3/xgLxglXslx/countLxztByPc","getCountLxztByPc","","","","是"
"lxtj","1级路由","","getStatisticByLxsx","/lxgl/v3/xgLxglSxbl/statisticByLxsx","getStatisticByLxsx","","","","是"
"lxtj","1级路由","","getStatisticSchoolBlv","/lxgl/v3/xgLxglSxbl/statisticByLxpc","getStatisticSchoolBlv","","","","是"
"lxclassroster","1级路由","lxtj","findByTypeKey","/platform/v3/cat/dictionary/findByTypeKey","findByTypeKey","","","index","是"
"lxclassroster","1级路由","lxtj","xgJczyXx0301","/jczy/v3/xgJczyXx0301/view","xgJczyXx0301","","","index","是"
"lxclassroster","1级路由","lxtj","xgJczyJx01","/jczy/v3/xgJczyJx01/view","xgJczyJx01","","","index","是"
"lxclassroster","1级路由","lxtj","queryCountBjLx","/lxgl/v3/xgLxglXslx/countBjLx","queryCountBjLx","","","index","是"
"lxclasslist","1级路由","","getClassrostersStudents","/lxgl/v3/xgLxglXslx/queryXslx","getClassrostersStudents","","","index, zhcx","是"
